item_name,base_price,freshness,days_old,stock,demand_score,market_noise,time_of_day,season,is_weekend,dynamic_price,price_change,scenario,created_at
cabbage,28,76.0,3,29,1.81,1.09,afternoon,winter,True,40.6,12.6,normal_market,2026-05-11T22:22:38.303189
potato,20,91.0,3,41,1.31,0.94,afternoon,monsoon,True,23.36,3.36,normal_market,2026-05-12T02:22:38.303617
potato,20,94.0,2,28,1.59,1.0,evening,winter,False,29.0,9.0,normal_market,2026-05-11T10:22:38.303657
tomato,30,28.0,4,110,0.74,1.19,afternoon,winter,True,18.79,-11.21,waste_prevention_discount,2026-05-09T16:22:38.303676
cabbage,28,60.0,5,33,1.36,1.03,evening,monsoon,True,31.75,3.75,normal_market,2026-05-10T03:22:38.303691
apple,120,80.0,4,77,1.6,0.94,morning,summer,True,148.14,28.14,weekend_peak_demand,2026-05-10T01:22:38.303705
carrot,35,70.0,3,50,1.4,1.06,evening,monsoon,False,44.43,9.43,normal_market,2026-05-11T20:22:38.303718
onion,25,92.0,2,59,2.01,0.9,evening,winter,True,36.22,11.22,normal_market,2026-05-13T02:22:38.303734
apple,120,80.0,4,68,1.63,0.96,evening,summer,True,156.81,36.81,normal_market,2026-05-10T18:22:38.303752
banana,40,52.0,4,79,1.53,1.17,morning,summer,True,49.21,9.21,weekend_peak_demand,2026-05-10T17:22:38.303773
banana,40,40.0,5,97,1.1,1.08,morning,summer,True,29.88,-10.12,weekend_peak_demand,2026-05-12T11:22:38.303788
cabbage,28,100.0,0,104,1.54,1.11,morning,monsoon,True,37.31,9.31,weekend_peak_demand,2026-05-12T20:22:38.303805
potato,20,94.0,2,85,1.52,1.01,evening,monsoon,True,23.95,3.95,normal_market,2026-05-12T22:22:38.303823
carrot,35,80.0,2,80,1.42,0.99,evening,monsoon,True,44.67,9.67,normal_market,2026-05-11T00:22:38.303842
onion,25,96.0,1,108,1.52,1.01,afternoon,winter,False,28.05,3.05,normal_market,2026-05-12T00:22:38.303860
mango,150,70.0,2,47,1.66,0.98,afternoon,summer,False,205.73,55.73,normal_market,2026-05-11T15:22:38.303880
cabbage,28,100.0,0,24,2.73,1.14,morning,winter,True,40.6,12.6,weekend_peak_demand,2026-05-09T16:22:38.303902
carrot,35,40.0,6,107,1.21,0.98,evening,winter,False,29.72,-5.28,normal_market,2026-05-10T01:22:38.303931
apple,120,80.0,4,29,1.61,1.04,evening,winter,False,169.02,49.02,normal_market,2026-05-11T01:22:38.303951
mango,150,85.0,1,21,1.75,1.14,afternoon,monsoon,True,217.5,67.5,normal_market,2026-05-10T07:22:38.303970
carrot,35,90.0,1,52,2.3,1.07,evening,winter,True,50.75,15.75,normal_market,2026-05-12T11:22:38.303989
tomato,30,82.0,1,72,1.44,1.21,evening,monsoon,True,43.5,13.5,temporary_market_spike,2026-05-09T13:22:38.304010
banana,40,40.0,5,87,1.0,0.91,evening,monsoon,True,25.14,-14.86,normal_market,2026-05-12T17:22:38.304029
banana,40,40.0,5,95,0.97,1.17,morning,winter,True,31.15,-8.85,weekend_peak_demand,2026-05-11T09:22:38.304048
carrot,35,80.0,2,64,1.51,0.96,morning,monsoon,True,43.12,8.12,weekend_peak_demand,2026-05-10T03:22:38.304066
potato,20,100.0,0,61,1.72,1.02,morning,monsoon,True,29.0,9.0,weekend_peak_demand,2026-05-10T18:22:38.304085
banana,40,28.0,6,43,0.77,1.08,evening,summer,True,30.23,-9.77,normal_market,2026-05-09T12:22:38.304106
carrot,35,80.0,2,40,1.76,0.9,morning,summer,False,43.05,8.05,normal_market,2026-05-13T01:22:38.304126
banana,40,52.0,4,43,1.11,1.12,afternoon,summer,False,39.98,-0.02,normal_market,2026-05-12T20:22:38.304146
onion,25,84.0,4,46,1.66,0.98,evening,winter,True,34.49,9.49,normal_market,2026-05-13T03:22:38.304166
mango,150,25.0,5,70,0.87,1.21,morning,summer,True,145.87,-4.13,weekend_peak_demand,2026-05-12T17:22:38.304182
potato,20,91.0,3,88,1.31,1.1,afternoon,winter,True,22.42,2.42,normal_market,2026-05-11T18:22:38.304195
banana,40,40.0,5,116,1.04,0.99,afternoon,summer,False,25.63,-14.37,normal_market,2026-05-11T13:22:38.304209
potato,20,94.0,2,102,1.86,0.98,evening,winter,False,25.29,5.29,normal_market,2026-05-10T05:22:38.304223
carrot,35,60.0,4,61,1.31,1.06,evening,summer,False,40.29,5.29,normal_market,2026-05-12T12:22:38.304234
cabbage,28,76.0,3,7,1.11,0.93,evening,summer,True,34.48,6.48,normal_market,2026-05-12T04:22:38.304246
potato,20,97.0,1,22,1.76,0.91,afternoon,summer,False,26.35,6.35,normal_market,2026-05-13T00:22:38.304258
apple,120,80.0,4,63,1.62,0.95,afternoon,winter,True,143.32,23.32,normal_market,2026-05-12T02:22:38.304270
apple,120,75.0,5,73,1.41,0.97,afternoon,winter,True,133.99,13.99,normal_market,2026-05-09T16:22:38.304283
onion,25,76.0,6,31,1.39,0.93,morning,monsoon,True,28.14,3.14,weekend_peak_demand,2026-05-11T00:22:38.304296
carrot,35,50.0,5,114,1.27,1.06,afternoon,winter,True,32.98,-2.02,normal_market,2026-05-10T15:22:38.304308
carrot,35,80.0,2,119,1.19,0.89,evening,monsoon,False,30.91,-4.09,normal_market,2026-05-10T03:22:38.304333
mango,150,70.0,2,64,1.52,1.2,evening,summer,True,217.5,67.5,temporary_market_spike,2026-05-11T07:22:38.304346
apple,120,95.0,1,78,1.41,0.91,evening,winter,False,154.3,34.3,normal_market,2026-05-11T06:22:38.304357
tomato,30,0,6,68,0.44,0.92,afternoon,summer,False,13.5,-16.5,clearance_low_freshness,2026-05-09T11:22:38.304373
mango,150,55.0,3,97,1.39,0.89,morning,monsoon,True,113.63,-36.37,weekend_peak_demand,2026-05-12T08:22:38.304386
banana,40,88.0,1,49,1.48,1.06,evening,summer,True,58.0,18.0,normal_market,2026-05-11T16:22:38.304401
mango,150,25.0,5,68,0.67,0.96,evening,winter,False,94.58,-55.42,normal_market,2026-05-11T14:22:38.304413
tomato,30,28.0,4,63,0.72,1.06,afternoon,monsoon,True,23.92,-6.08,normal_market,2026-05-12T00:22:38.304425
apple,120,75.0,5,28,1.43,0.93,evening,summer,False,139.48,19.48,normal_market,2026-05-10T13:22:38.304445
tomato,30,64.0,2,104,1.05,0.76,morning,winter,False,18.89,-11.11,normal_market,2026-05-09T22:22:38.304464
mango,150,40.0,4,50,0.97,1.27,morning,winter,True,154.62,4.62,weekend_peak_demand,2026-05-12T00:22:38.304477
carrot,35,90.0,1,51,1.81,1.09,afternoon,winter,False,50.75,15.75,normal_market,2026-05-11T09:22:38.304491
apple,120,80.0,4,107,1.64,0.91,morning,summer,True,118.8,-1.2,weekend_peak_demand,2026-05-10T12:22:38.304503
tomato,30,64.0,2,85,1.33,1.19,afternoon,monsoon,True,35.99,5.99,temporary_market_spike,2026-05-10T20:22:38.304515
carrot,35,80.0,2,45,1.34,0.91,evening,monsoon,False,40.18,5.18,normal_market,2026-05-10T13:22:38.304528
onion,25,100.0,0,22,1.88,1.05,evening,winter,True,36.25,11.25,normal_market,2026-05-11T09:22:38.304539
carrot,35,60.0,4,98,1.53,1.07,afternoon,winter,False,38.64,3.64,normal_market,2026-05-13T01:22:38.304552
mango,150,10.0,6,74,0.64,1.19,evening,monsoon,True,98.02,-51.98,waste_prevention_discount,2026-05-11T08:22:38.304564
apple,120,70.0,6,110,1.18,1.04,evening,monsoon,False,115.33,-4.67,normal_market,2026-05-09T23:22:38.304576
onion,25,76.0,6,71,1.49,1.08,morning,winter,False,33.56,8.56,normal_market,2026-05-12T12:22:38.304588
onion,25,84.0,4,53,1.19,1.05,morning,summer,True,31.7,6.7,weekend_peak_demand,2026-05-11T09:22:38.304599
banana,40,64.0,3,111,1.74,0.86,morning,summer,True,34.31,-5.69,weekend_peak_demand,2026-05-11T03:22:38.304611
potato,20,97.0,1,54,1.69,0.91,afternoon,winter,True,25.9,5.9,normal_market,2026-05-11T19:22:38.304623
carrot,35,100.0,0,40,2.17,1.06,evening,winter,False,50.75,15.75,normal_market,2026-05-11T12:22:38.304638
mango,150,100.0,0,20,2.2,0.94,afternoon,monsoon,True,217.5,67.5,normal_market,2026-05-10T22:22:38.304650
potato,20,88.0,4,43,1.65,0.93,afternoon,winter,False,24.81,4.81,normal_market,2026-05-12T12:22:38.304662
cabbage,28,68.0,4,71,1.7,1.14,morning,winter,False,40.6,12.6,normal_market,2026-05-09T08:22:38.304674
tomato,30,82.0,1,19,1.56,0.87,evening,winter,True,40.66,10.66,normal_market,2026-05-12T18:22:38.304686
apple,120,70.0,6,26,1.19,0.9,afternoon,winter,False,113.01,-6.99,normal_market,2026-05-11T09:22:38.304698
